Call ID,Time(ms)
709,0.972859
710,0.967242
711,0.972486
712,0.974970
713,0.960345
714,0.967436
715,0.978401
716,0.961646
717,0.964801
718,0.966539
719,0.967681
720,0.960386
721,0.956768
722,0.970214
723,0.969034
724,0.963466
725,0.969135
726,0.984736
727,0.969419
728,0.983884
729,0.965967
730,0.971530
731,0.976585
732,0.984588
733,0.968805
734,0.967977
735,0.981694
736,0.972784
737,0.972632
738,0.971829
739,0.978345
740,0.973772
741,0.962388
742,0.967900
743,0.977799
744,0.969016
745,0.976342
746,0.973549
747,0.966536
748,0.964709
749,0.968600
750,0.957599
751,0.960323
752,0.979701
753,0.977304
754,0.987647
755,0.973424
756,0.964981
757,0.969674
758,0.959665
759,0.969326
760,0.970571
761,0.955059
762,0.962937
763,0.961809
764,1.023247
765,0.967434
766,0.983845
767,0.975869
768,0.985182
769,0.971765
770,0.982623
771,0.961473
772,0.970753
773,0.961598
774,0.978022
775,0.980694
776,0.979377
777,0.964568
778,0.967365
779,0.979553
780,0.973562
781,0.974516
782,0.983025
783,0.968455
784,0.966812
785,0.972289
786,0.987151
787,0.960484
788,0.975331
789,0.958438
790,0.964172
791,0.967893
792,0.975177
793,0.977472
794,0.972706
795,0.976742
796,0.968464
797,0.965927
798,0.968591
799,0.999775
800,0.970387
801,0.963116
802,0.965214
803,0.989814
804,0.969573
805,0.975499
806,0.970118
807,0.968472
808,0.971130
809,0.966388
810,0.969198
811,0.974931
812,0.970587
813,0.973442
814,0.975781
815,0.987027
816,0.974219
817,0.970988
818,0.973987
819,0.973359
820,0.969904
821,0.983835
822,0.981372
823,0.990540
824,0.963184
825,0.972153
826,0.965716
827,0.976191
828,0.977168
829,0.974580
830,0.965488
831,0.976458
832,0.983041
833,0.965346
834,0.980542
835,0.976992
836,0.982552
837,0.964583
838,0.968447
839,0.961072
840,0.956321
841,0.974508
842,0.971420
843,0.980891
844,0.978454
845,0.988533
846,0.963008
847,0.973350
848,0.969812
849,0.961937
850,0.967378
