direction,speed,box_size,noise_prob,expected_id,stable_id,correct_rate,hit_rate,passed
up_left,1,5,0.003,4,4,0.8333333333333334,1.0,True
right,2,5,0.003,7,7,0.7777777777777778,1.0,True
left,2,5,0.003,3,2,0.4444444444444444,1.0,False
down,2,5,0.003,1,8,0.0,1.0,False
up,2,5,0.003,5,5,0.6111111111111112,1.0,False
down_right,2,5,0.003,8,7,0.2777777777777778,1.0,False
down_left,2,5,0.003,2,1,0.3333333333333333,1.0,False
up_right,2,5,0.003,6,6,0.3888888888888889,1.0,False
up_left,2,5,0.003,4,3,0.2777777777777778,1.0,False
right,3,5,0.003,7,6,0.16666666666666666,1.0,False
left,3,5,0.003,3,1,0.3333333333333333,1.0,False
down,3,5,0.003,1,7,0.1111111111111111,1.0,False
up,3,5,0.003,5,5,0.8888888888888888,1.0,True
down_right,3,5,0.003,8,6,0.1111111111111111,1.0,False
down_left,3,5,0.003,2,2,0.7777777777777778,1.0,True
up_right,3,5,0.003,6,8,0.05555555555555555,1.0,False
up_left,3,5,0.003,4,3,0.05555555555555555,1.0,False
right,1,7,0.003,7,7,0.8333333333333334,1.0,True
left,1,7,0.003,3,3,1.0,1.0,True
down,1,7,0.003,1,1,0.7777777777777778,1.0,True
up,1,7,0.003,5,4,0.4444444444444444,1.0,False
down_right,1,7,0.003,8,8,0.6111111111111112,1.0,False
down_left,1,7,0.003,2,2,0.6111111111111112,1.0,False
up_right,1,7,0.003,6,6,0.5555555555555556,1.0,False
up_left,1,7,0.003,4,3,0.3888888888888889,1.0,False
right,2,7,0.003,7,7,1.0,1.0,True
left,2,7,0.003,3,3,0.5555555555555556,1.0,False
down,2,7,0.003,1,1,0.7777777777777778,1.0,True
up,2,7,0.003,5,5,0.5555555555555556,1.0,False
down_right,2,7,0.003,8,7,0.2777777777777778,1.0,False
down_left,2,7,0.003,2,2,0.8333333333333334,1.0,True
up_right,2,7,0.003,6,6,0.8888888888888888,1.0,True
up_left,2,7,0.003,4,3,0.16666666666666666,1.0,False
right,3,7,0.003,7,7,0.9444444444444444,1.0,True
left,3,7,0.003,3,7,0.2777777777777778,1.0,False
down,3,7,0.003,1,1,0.8333333333333334,1.0,True
up,3,7,0.003,5,5,0.7777777777777778,1.0,True
down_right,3,7,0.003,8,5,0.1111111111111111,1.0,False
down_left,3,7,0.003,2,4,0.1111111111111111,1.0,False
up_right,3,7,0.003,6,6,0.6666666666666666,1.0,False
up_left,3,7,0.003,4,3,0.1111111111111111,1.0,False
